customer_unique_id,repurchase_prob,R,F,M
004288347e5e88a27ded2bb23747066c,1.0,232,2,317.89
004b45ec5c64187465168251cd1c9c2f,1.0,99,2,86.9
0058f300f57d7b93c477a131a59b36c3,1.0,164,2,132.48
00a39521eb40f7012db50455bf083460,1.0,91,2,81.45
00cc12a6d8b578b8ebd21ea4e2ae8b27,1.0,530,2,99.80000000000001
011575986092c30523ecb71ff10cb473,1.0,137,2,182.9
011b4adcd54683b480c4d841250a987f,1.0,199,2,183.43
012452d40dafae4df401bced74cdb490,1.0,111,2,427.9
012a218df8995d3ec3bb221828360c86,1.0,76,2,1429.8000000000002
013ef03e0f3f408dd9bf555e4edcdc0a,1.0,45,2,226.34
013f4353d26bb05dc6652f1269458d8d,1.0,278,2,276.9
015557c9912277312b9073947804a7ba,1.0,489,2,289.9
0178b244a5c281fb2ade54038dd4b161,1.0,36,2,208.88
01886ef98f995e4f2dd75a1d04c97397,1.0,177,2,41.260000000000005
018b5a7502c30eb5f230f1b4eb23a156,1.0,378,2,79.98
01a22e2079ea71e17313b88e5811e54a,1.0,223,2,142.0
01c289bb06354cdc7e6549570f20ada4,1.0,250,2,139.98000000000002
01ea7dfdac01a4e8fbe2902b73510b20,1.0,205,2,173.9
01f2285f85a1c603eb7ef755ad311769,1.0,94,2,428.0
02168ea18740a0fdaaa15f11bebba5db,1.0,328,2,199.6
0241fa2e9adf0576cb0f845377d05c03,1.0,40,2,132.31
027803eb28cc01fbdf5da72b109fabee,1.0,320,2,64.99
029b457bd01199c39136f89e0eddcd3a,1.0,241,2,278.0
02b20b7c813efede140142ac610e36dc,1.0,167,2,172.89
02e4c56fefa30628768ffe326d332e2f,1.0,234,2,63.980000000000004
02e9109b7e0a985108b43e573b6afb23,1.0,111,3,532.87
02e9827c15167f699df7bf90d326ffdb,1.0,148,2,45.98
02fbe4db886eb98774c8ba300d39fa79,1.0,197,2,162.0
031e19fc630c4121f1238716f41675c3,1.0,61,2,20.2
031ea691b99fc101dcad357d1a83573f,1.0,419,2,56.989999999999995
032b3a42598667caf2e099999b9dc1b9,1.0,40,2,387.7
0333b2fc6ba7014702e08ef613850270,1.0,301,2,50.699999999999996
0341bbd5c969923a0f801b9e2d10a7b8,1.0,95,2,1828.44
035e7cd88b7450fd33efeca817081a53,1.0,62,2,125.61
0361e980b28826f4d286ac144d9b319a,1.0,63,2,309.0
038301b43811478e1a8dc0e476eaf52e,1.0,143,2,607.0
0396c443fdda5498c7e9ed5b34871c5a,1.0,486,2,85.89
03d4953a455f8489e712ea80699de878,1.0,43,2,54.97
03dabd77cb0ed7a26fafe19e36b67742,1.0,475,2,48.98
03ef7f03905227e15c7b6c860554b3cb,1.0,46,2,191.99
041caba6a63ace5818387698ea85cdb2,1.0,101,3,121.89
043aee247e71edff7045664609f4d806,1.0,412,2,359.65
0451ef5a31cea3e14ce02d768d7c9943,1.0,441,2,345.48
0488328f0b499963e32a37fa42a20ca0,1.0,360,2,348.9
048dbdf8f9bbd1be87b25868d1408311,1.0,301,2,144.9
04be500031efe43d2defff8c41810543,1.0,214,2,218.9
04d3c2795b83634312bf3f86f41f7901,1.0,390,2,557.99
04e495a3f45df8b41be2e934bbc16961,1.0,222,2,160.89
04fc637963fe982dd25ac58e4f4770c1,1.0,161,2,88.95
050555c26479bbb8ba0740c37e7454d0,1.0,148,2,80.0
0509ab034845adb0b4c91b6f0e7b7260,1.0,121,2,316.0
053b7090271ed4dacbfe0afd6382bbab,1.0,339,2,69.86
053f7850c3ffd9726cff61c7e42af797,1.0,430,2,43.0
055ec572ac7f3c7bdd04a183830ebe59,1.0,411,2,3999.98
05669445931c028d97b7c0637b5a2359,1.0,330,2,180.0
059d1f5650f05d9fed9a6d941593f9b4,1.0,168,2,99.97
059e7585d8fcd2430a33375bdbcbb990,0.99,14,2,434.69
05e52c1f96f8b83dd66dcdce679ff58d,1.0,405,2,210.0
05edb10f73fe7d03959ff26540913b3a,1.0,242,2,200.4
05ef855308303397f1427f29470bb6ab,1.0,167,2,43.89
060f9ea0a180843fb91d4923b6d01bea,1.0,176,2,576.8
0621c2a5979d3e887ae519620cbe2926,1.0,388,2,467.70000000000005
065938485846aa5adc196cb536de42e0,1.0,191,2,384.9
065dcef61d5f66b30d2ee51b5343d023,1.0,276,2,164.9
0697142614905a50813d854fa08b8eaf,1.0,41,2,88.0
06a52782a04f0086d16b9c22d0e29438,1.0,484,3,105.0
06d26e5230ac619719997a8cf435a69b,1.0,150,2,51.5
070acf4df1234a6257809e4e79644481,1.0,47,2,873.99
0710e0c85fe7cb494d624e0863782e46,0.99,165,2,194.3
071bb277b0146da77fac31e70657815e,1.0,140,2,99.97999999999999
071fb07419a29c8ba143831082e0320a,1.0,236,2,449.84999999999997
07342638d0e0aad32c3cf0efc1a37ba5,1.0,341,2,549.78
0751ebe1c05ef7a632934adae06c6d4a,1.0,406,2,152.9
075c38f7a650b0dc822712c7a58e93d4,1.0,318,2,95.8
